id;accept_time;complete_time;status
1;2022-06-22T23:47:19;2022-06-23T03:41:21;COMPLETED
2;2022-06-22T17:37:39;2022-06-22T17:35:14;COMPLETED
3;2022-06-22T16:58:26;2022-06-22T19:21:26;ACCEPTED
4;2022-06-22T12:09:04;2022-06-22T20:10:28;COMPLETED
5;2022-06-22T21:43:55;2022-06-22T19:16:41;GOING
6;2022-06-22T18:38:03;2022-06-23T06:26:35;ACCEPTED
7;2022-06-23T05:06:23;2022-06-22T13:15:27;COMPLETED
8;2022-06-22T23:37:39;2022-06-22T23:22:15;ACCEPTED
9;2022-06-23T01:53:34;2022-06-22T23:43:30;COMPLETED
10;2022-06-22T23:26:01;2022-06-22T12:17:42;ACCEPTED
